County,Year,HDU,HDUday
Madera,2014,449.7479944,118.4465733
Marin,2014,125.3106869,156.4583333
Merced,2014,406.690259,123.3560146
Monterey,2014,194.8545889,154.2
Napa,2014,164.3560846,153.0740741
Nevada,2014,57.27785969,173
NULL,2014,669.4851894,122.6666667
Orange,2014,360.0569432,122.8927944
Placer,2014,304.6529003,140.3142305
Riverside,2014,660.3626296,118.3950767
Sacramento,2014,337.8414544,134.8642937
SaltLake,2014,128.3558754,175.3703704
San Bernardino,2014,742.5424693,122.8125
SanBenito,2014,145.9636896,159.7833333
SanBernardino,2014,278.5865883,141.0154997
SanDiego,2014,275.7210227,129.1420015
SanFrancisco,2014,178.9482589,143
SanJoaquin,2014,379.8213545,133.1778455
SanLuisObispo,2014,164.2721211,138.5
SanMateo,2014,160.4677888,145.5703422
SantaBarbara,2014,148.8866852,141.091954
SantaClara,2014,168.7894554,142.7861555
SantaCruz,2014,138.9667866,148.3382353
Shasta,2014,301.7740729,140.3814956
Solano,2014,246.6381304,143.8966565
Sonoma,2014,128.55248,156.9384615
Stanislaus,2014,380.4214744,127.1282723
Sutter,2014,364.5823003,131.0714286
Tehama,2014,369.9573169,130.4615385
Tulare,2014,449.948185,121.7030837
Ventura,2014,249.3688963,133.8040541
Yolo,2014,351.2949879,132.6471631
Yuba,2014,363.7494818,131.1153846
Alameda,2015,271.064049,161.6373293
Butte,2015,501.4209941,136.859375
Cache,2015,96.73251057,183
Calaveras,2015,421.8375015,156
Colusa,2015,491.8532778,138.21875
ContraCosta,2015,312.4623921,156.8510638
Davis,2015,176.9341344,176.6666667
Fresno,2015,662.6727662,124.3595846
Glenn,2015,554.0584895,128.4642857
Imperial,2015,1140.796265,109.3376623
Inyo,2015,226.2086493,175.7464789
Kern,2015,593.9626736,126.1206897
Kings,2015,639.9334548,124.0229885
Lake,2015,281.1996396,160.0803109
LosAngeles,2015,426.689426,148.460261
Madera,2015,615.0545508,126.2837141
Marin,2015,187.3703573,175.9166667
Merced,2015,566.0048016,131.9659781
Monterey,2015,273.183862,168.4666667
Napa,2015,252.4000732,166.0740741
Nevada,2015,208.3160772,175
NULL,2015,827.6568871,124
Orange,2015,434.8163237,124.6713533
Placer,2015,470.4549749,149.0244688
Riverside,2015,773.6109415,126.1658596
Sacramento,2015,493.9985508,142.419911
SaltLake,2015,241.2237273,171.5925926
San Bernardino,2015,919.3848396,131.4375
SanBenito,2015,180.6627755,172.7
SanBernardino,2015,439.9171731,153.6226617
SanDiego,2015,365.4418231,137.1212877
SanFrancisco,2015,225.1486235,168
SanJoaquin,2015,563.0129639,142.6239837
SanLuisObispo,2015,225.8031728,163
SanMateo,2015,213.0755313,171.833967
SantaBarbara,2015,205.3925397,164.4827586
SantaClara,2015,241.9363131,167.6374867
SantaCruz,2015,201.3373804,176.0073529
Shasta,2015,516.4643384,134.2053232
Solano,2015,352.5823811,153.1398176
Sonoma,2015,204.204457,173.2307692
Stanislaus,2015,541.6372996,133.117801
Sutter,2015,545.500563,132.0892857
Tehama,2015,594.3134641,125.0769231
Tulare,2015,633.1922852,126.6484581
Ventura,2015,315.4368282,148.2094595
Yolo,2015,501.6157272,135.1666667
Yuba,2015,548.0720697,132
Alameda,2016,243.6432036,144.6084977
Butte,2016,482.3097502,134.9609375
Cache,2016,94.4546901,190
Calaveras,2016,408.3668513,149
Colusa,2016,464.3444798,135.25
ContraCosta,2016,297.022375,143.5106383
Davis,2016,198.8120512,177.3333333
Fresno,2016,665.1209513,122.9627001
Glenn,2016,535.5035844,128.5714286
Imperial,2016,1118.36887,106.6038961
Inyo,2016,224.3339991,175.2253521
Kern,2016,622.8710892,123.3777429
Kings,2016,632.0135354,123.0114943
Lake,2016,243.3551603,154.0777202
LosAngeles,2016,383.5195421,140.6093318
Madera,2016,611.4743466,124.651437
Marin,2016,168.0506429,159.6666667
Merced,2016,559.5935582,128.3475091
Monterey,2016,184.9542487,162.8666667
Napa,2016,246.8106003,154.7222222
Nevada,2016,179.4538193,179
NULL,2016,728.4322659,123.3333333
Orange,2016,381.4526923,124.4112478
Placer,2016,444.7070149,143.1184804
Riverside,2016,737.6022591,119.6212672
Sacramento,2016,479.8755599,135.4721913
SaltLake,2016,268.4108036,169.2777778
San Bernardino,2016,864.5614852,126
SanBenito,2016,121.7577008,163.85
SanBernardino,2016,399.471638,147.3968466
