County,Year,AnnualPrecip
Imperial,2014,145.5038475
Inyo,2014,665.9173224
Kern,2014,231.4441127
Kings,2014,240.2916338
Lake,2014,1222.326718
LosAngeles,2014,698.9523855
Madera,2014,321.3533359
Marin,2014,1004.058145
Merced,2014,361.6001111
Monterey,2014,569.4739029
Napa,2014,1034.101755
Nevada,2014,2030.788665
NULL,2014,524.8451867
Orange,2014,514.9337574
Placer,2014,693.9625638
Riverside,2014,320.8083961
Sacramento,2014,547.904504
SaltLake,2014,797.7772057
San Bernardino,2014,376.3974471
SanBenito,2014,426.4107665
SanBernardino,2014,658.738834
SanDiego,2014,427.1100212
SanFrancisco,2014,681.6984105
SanJoaquin,2014,420.6754528
SanLuisObispo,2014,525.9767179
SanMateo,2014,702.6999421
SantaBarbara,2014,712.7291623
SantaClara,2014,696.0522684
SantaCruz,2014,607.8673705
Shasta,2014,1386.959158
Solano,2014,776.9608355
Sonoma,2014,1159.311327
Stanislaus,2014,406.6511431
Sutter,2014,691.9939935
Tehama,2014,854.5500293
Tulare,2014,303.644332
Ventura,2014,751.1088271
Yolo,2014,619.6385267
Yuba,2014,712.8996925
Alameda,2015,566.8637126
Butte,2015,917.051408
Cache,2015,592.0187743
Calaveras,2015,791.0301738
Colusa,2015,680.1289591
ContraCosta,2015,578.235983
Davis,2015,771.9104502
Fresno,2015,387.5845873
Glenn,2015,658.2482298
Imperial,2015,49.05240817
Inyo,2015,589.7433371
Kern,2015,183.5115742
Kings,2015,281.5758507
Lake,2015,1002.412161
LosAngeles,2015,325.7905616
Madera,2015,346.983931
Marin,2015,915.9050361
Merced,2015,339.3194742
Monterey,2015,579.2313561
Napa,2015,847.8948539
Nevada,2015,1672.065531
NULL,2015,429.1629544
Orange,2015,242.6208008
Placer,2015,622.0608697
Riverside,2015,127.9366054
Sacramento,2015,517.9113564
SaltLake,2015,761.4114076
San Bernardino,2015,162.766544
SanBenito,2015,453.793351
SanBernardino,2015,341.3133311
SanDiego,2015,212.4324986
SanFrancisco,2015,644.2595497
SanJoaquin,2015,268.5216204
SanLuisObispo,2015,566.7453676
SanMateo,2015,654.7977775
SantaBarbara,2015,560.2120748
SantaClara,2015,634.1681313
SantaCruz,2015,612.7174442
Shasta,2015,1262.994182
Solano,2015,661.2793596
Sonoma,2015,1012.867508
Stanislaus,2015,394.4664597
Sutter,2015,611.4501078
Tehama,2015,696.865775
Tulare,2015,330.5781886
Ventura,2015,380.2362701
Yolo,2015,512.2073052
Yuba,2015,631.601033
Alameda,2016,326.5471482
Butte,2016,517.9891612
Cache,2016,434.4448533
Calaveras,2016,450.6382904
Colusa,2016,325.7465966
ContraCosta,2016,326.6796518
Davis,2016,577.8535455
Fresno,2016,164.9566868
Glenn,2016,292.5956055
Imperial,2016,52.71234085
Inyo,2016,286.3537486
Kern,2016,96.01193978
Kings,2016,93.09651326
Lake,2016,553.3407163
LosAngeles,2016,173.15017
Madera,2016,156.2151151
Marin,2016,468.9764933
Merced,2016,182.6177404
Monterey,2016,243.0864043
Napa,2016,411.859434
Nevada,2016,1089.496437
NULL,2016,387.7534856
Orange,2016,132.8384943
Placer,2016,443.5042468
Riverside,2016,104.6114003
Sacramento,2016,348.6844623
SaltLake,2016,593.0261373
San Bernardino,2016,113.3219643
SanBenito,2016,214.1901623
SanBernardino,2016,175.0378098
SanDiego,2016,177.9378514
SanFrancisco,2016,358.3933232
SanJoaquin,2016,148.8793758
